date,title,transcript_url
"June 30, 2014","Press Briefing by Press Secretary Josh Earnest, 6/30/2014",/the-press-office/2014/06/30/press-briefing-press-secretary-josh-earnest-6302014
date,title,transcript_url
"June 25, 2014","Press Briefing by Press Secretary Josh Earnest, 6/25/2014",/the-press-office/2014/06/25/press-briefing-press-secretary-josh-earnest-6252014
"June 24, 2014","Press Briefing by Press Secretary Josh Earnest, 6/24/2014",/the-press-office/2014/06/24/press-briefing-press-secretary-josh-earnest-6242014
"June 23, 2014","Press Briefing by Press Secretary Josh Earnest, 6/23/2014",/the-press-office/2014/06/23/press-briefing-press-secretary-josh-earnest-6232014
"June 20, 2014","Press Briefing by Principal Deputy Press Secretary Josh Earnest, 6/20/14",/the-press-office/2014/06/20/press-briefing-principal-deputy-press-secretary-josh-earnest-62014
"June 18, 2014","Press Briefing by Press Secretary Jay Carney, 6/18/2014",/the-press-office/2014/06/18/press-briefing-press-secretary-jay-carney-6182014
"June 12, 2014","Press Briefing by Press Secretary Jay Carney, 6/12/2014",/the-press-office/2014/06/12/press-briefing-press-secretary-jay-carney-6122014
date,title,transcript_url
"June 10, 2014","Press Briefing by Principal Deputy Press Secretary Josh Earnest, 6/10/2014",/the-press-office/2014/06/10/press-briefing-principal-deputy-press-secretary-josh-earnest-6102014
"June 09, 2014","Press Briefing by Principal Deputy Press Secretary Josh Earnest, 6/9/2014",/the-press-office/2014/06/09/press-briefing-principal-deputy-press-secretary-josh-earnest-692014
"June 02, 2014","Press Briefing by Press Secretary Jay Carney, 06/02/14",/the-press-office/2014/06/02/press-briefing-press-secretary-jay-carney-060214
"May 30, 2014","Press Briefing by Deputy National Security Advisor for Strategic Communications Ben Rhodes on the President's Upcoming Trip to Poland, Belgium and France",/the-press-office/2014/05/30/press-briefing-deputy-national-security-advisor-strategic-communications
"May 29, 2014","Press Briefing by Press Secretary Jay Carney, 5/29/2014",/the-press-office/2014/05/29/press-briefing-press-secretary-jay-carney-5292014
date,title,transcript_url
"May 21, 2014","Press Briefing by Press Secretary Jay Carney, 5/21/2014",/the-press-office/2014/05/21/press-briefing-press-secretary-jay-carney-5212014
"May 20, 2014","Press Briefing by the Press Secretary Jay Carney, 5/20/14",/the-press-office/2014/05/20/press-briefing-press-secretary-jay-carney-52014
"May 19, 2014","Press Briefing by Press Secretary Jay Carney, 5/19/2014",/the-press-office/2014/05/19/press-briefing-press-secretary-jay-carney-5192014
"May 17, 2014","Press Briefing by Press Secretary Jay Carney, 5/16/14",/the-press-office/2014/05/17/press-briefing-press-secretary-jay-carney-516
date,title,transcript_url
"May 13, 2014","Press Briefing by the Press Secretary Jay Carney, 5/13/14",/the-press-office/2014/05/13/press-briefing-press-secretary-jay-carney-51314
"May 12, 2014","Press Briefing by Press Secretary Jay Carney and Secretary of Transportation Anthony Foxx, 5/12/2014",/the-press-office/2014/05/12/press-briefing-press-secretary-jay-carney-and-secretary-transportation-a
"May 01, 2014","Press Briefing by Press Secretary Jay Carney, 5/1/2014",/the-press-office/2014/05/01/press-briefing-press-secretary-jay-carney-512014
"May 01, 2014","Press Briefing by Press Secretary Jay Carney, 4/30/2014",/the-press-office/2014/05/01/press-briefing-press-secretary-jay-carney-4302014
"April 27, 2014",Press Briefing by Deputy National Security Advisor for Strategic Communication Ben Rhodes and NSC Senior Director for Asian Affairs Evan Medeiros,/the-press-office/2014/04/27/press-briefing-deputy-national-security-advisor-strategic-communication-
date,title,transcript_url
"April 21, 2014","Press Briefing by the Press Secretary Jay Carney, 4/21/14",/the-press-office/2014/04/21/press-briefing-press-secretary-jay-carney-42114
